Дата,Международные резервы,валютные резервы,иностранная валюта,счет в СДР,резервная позиция в МВФ,монетарное золото
01.02.2022,630 207,497 951,468 631,24 085,5 235,132 256
01.01.2022,630 627,497 557,468 075,24 218,5 264,133 070
01.12.2021,622 501,489 762,460 285,24 238,5 239,132 739
01.11.2021,624 237,491 378,461 593,24 491,5 294,132 859
01.10.2021,614 122,485 464,455 965,24 377,5 122,128 658
01.09.2021,618 181,485 484,455 583,24 642,5 258,132 697
01.08.2021,601 003,466 129,453 838,7 050,5 241,134 874
01.07.2021,591 745,461 306,449 027,7 038,5 241,130 440
01.06.2021,605 232,465 733,453 449,7 018,5 266,139 499
01.05.2021,590 476,459 622,447 411,6 976,5 234,130 855
01.04.2021,573 322,448 035,435 984,6 885,5 166,125 287
01.03.2021,586 266,455 963,443 634,6 992,5 337,130 304
01.02.2021,590 685,453 900,441 370,6 999,5 531,136 785
01.01.2021,595 774,457 020,444 495,6 996,5 528,138 754
01.12.2020,582 676,449 006,436 885,6 946,5 175,133 670
01.11.2020,582 845,444 188,432 206,6 857,5 124,138 657
01.10.2020,583 426,444 309,432 630,6 837,4 842,139 117
01.09.2020,594 422,449 834,438 062,6 891,4 881,144 588
01.08.2020,591 753,447 431,435 707,6 863,4 861,144 322
01.07.2020,568 872,438 082,426 640,6 681,4 761,130 790
01.06.2020,566 134,438 568,427 469,6 663,4 436,127 566
01.05.2020,566 012,439 927,429 156,6 639,4 133,126 084
01.04.2020,563 473,443 634,433 099,6 631,3 904,119 840
01.03.2020,570 381,450 629,440 019,6 671,3 940,119 752
01.02.2020,562 306,446 488,435 841,6 693,3 955,115 818
01.01.2020,554 359,443 983,433 297,6 717,3 970,110 376
01.12.2019,542 029,436 132,425 577,6 664,3 891,105 896
01.11.2019,540 917,433 015,422 313,6 701,4 001,107 903
01.10.2019,530 923,423 077,412 507,6 618,3 952,107 846
01.09.2019,529 083,419 606,409 005,6 638,3 963,109 477
01.08.2019,519 797,417 874,407 205,6 679,3 990,101 923
01.07.2019,518 363,418 086,407 618,6 745,3 723,100 278
01.06.2019,495 232,405 351,394 923,6 678,3 750,89 882
01.05.2019,491 088,401 080,390 579,6 724,3 777,90 008
01.04.2019,487 803,397 792,387 653,6 730,3 409,90 011
01.03.2019,482 610,390 969,380 767,6 770,3 431,91 641
01.02.2019,475 945,386 485,376 601,6 792,3 093,89 460
01.01.2019,468 495,381 592,371 733,6 737,3 122,86 903
01.12.2018,462 104,379 179,369 283,6 694,3 202,82 925
01.11.2018,459 563,378 508,368 609,6 696,3 203,81 055
01.10.2018,459 163,381 672,371 858,6 754,3 060,77 491
01.09.2018,460 615,383 350,373 501,6 778,3 071,77 265
