currency_reserves,data,foreign_currency,inter_reserves,monetary_gold,position_imf,sdr_account
497 951,01.02.2022,468 631,630 207,132 256,5 235,24 085
497 557,01.01.2022,468 075,630 627,133 070,5 264,24 218
489 762,01.12.2021,460 285,622 501,132 739,5 239,24 238
491 378,01.11.2021,461 593,624 237,132 859,5 294,24 491
485 464,01.10.2021,455 965,614 122,128 658,5 122,24 377
485 484,01.09.2021,455 583,618 181,132 697,5 258,24 642
466 129,01.08.2021,453 838,601 003,134 874,5 241,7 050
461 306,01.07.2021,449 027,591 745,130 440,5 241,7 038
465 733,01.06.2021,453 449,605 232,139 499,5 266,7 018
459 622,01.05.2021,447 411,590 476,130 855,5 234,6 976
448 035,01.04.2021,435 984,573 322,125 287,5 166,6 885
455 963,01.03.2021,443 634,586 266,130 304,5 337,6 992
453 900,01.02.2021,441 370,590 685,136 785,5 531,6 999
457 020,01.01.2021,444 495,595 774,138 754,5 528,6 996
449 006,01.12.2020,436 885,582 676,133 670,5 175,6 946
444 188,01.11.2020,432 206,582 845,138 657,5 124,6 857
444 309,01.10.2020,432 630,583 426,139 117,4 842,6 837
449 834,01.09.2020,438 062,594 422,144 588,4 881,6 891
447 431,01.08.2020,435 707,591 753,144 322,4 861,6 863
438 082,01.07.2020,426 640,568 872,130 790,4 761,6 681
438 568,01.06.2020,427 469,566 134,127 566,4 436,6 663
439 927,01.05.2020,429 156,566 012,126 084,4 133,6 639
443 634,01.04.2020,433 099,563 473,119 840,3 904,6 631
450 629,01.03.2020,440 019,570 381,119 752,3 940,6 671
446 488,01.02.2020,435 841,562 306,115 818,3 955,6 693
443 983,01.01.2020,433 297,554 359,110 376,3 970,6 717
436 132,01.12.2019,425 577,542 029,105 896,3 891,6 664
433 015,01.11.2019,422 313,540 917,107 903,4 001,6 701
423 077,01.10.2019,412 507,530 923,107 846,3 952,6 618
419 606,01.09.2019,409 005,529 083,109 477,3 963,6 638
417 874,01.08.2019,407 205,519 797,101 923,3 990,6 679
418 086,01.07.2019,407 618,518 363,100 278,3 723,6 745
405 351,01.06.2019,394 923,495 232,89 882,3 750,6 678
401 080,01.05.2019,390 579,491 088,90 008,3 777,6 724
397 792,01.04.2019,387 653,487 803,90 011,3 409,6 730
390 969,01.03.2019,380 767,482 610,91 641,3 431,6 770
386 485,01.02.2019,376 601,475 945,89 460,3 093,6 792
381 592,01.01.2019,371 733,468 495,86 903,3 122,6 737
379 179,01.12.2018,369 283,462 104,82 925,3 202,6 694
378 508,01.11.2018,368 609,459 563,81 055,3 203,6 696
381 672,01.10.2018,371 858,459 163,77 491,3 060,6 754
383 350,01.09.2018,373 501,460 615,77 265,3 071,6 778
380 621,01.08.2018,370 736,458 032,77 411,3 083,6 802
378 582,01.07.2018,368 668,456 749,78 167,3 109,6 805
376 129,01.06.2018,366 620,456 640,80 511,2 661,6 848
378 737,01.05.2018,369 075,459 884,81 146,2 704,6 958
377 513,01.04.2018,367 743,457 995,80 482,2 739,7 030
373 062,01.03.2018,363 348,453 644,80 582,2 728,6 987
367 357,01.02.2018,357 558,447 735,80 378,2 752,7 047
356 095,01.01.2018,346 507,432 742,76 647,2 706,6 883
355 518,01.12.2017,345 835,431 636,76 118,2 846,6 837
351 152,01.11.2017,341 439,424 857,73 705,2 924,6 789
351 163,01.10.2017,341 350,424 766,73 603,2 986,6 827
350 478,01.09.2017,340 669,423 978,73 500,2 985,6 824
348 410,01.08.2017,338 578,418 447,70 037,3 031,6 801
343 469,01.07.2017,333 673,412 239,68 770,3 078,6 719
336 426,01.06.2017,326 658,405 721,69 295,3 087,6 681
332 345,01.05.2017,322 667,400 998,68 653,3 059,6 619
330 337,01.04.2017,320 763,397 907,67 570,3 026,6 548
